Node,Code,HasEye
fkjbz,cipora_74_170717,FALSE
fkjbz,cipora_19_240617,FALSE
fkjbz,cipora_24_280617,FALSE
fkjbz,cipora_32_290617,FALSE
fkjbz,cipora_49_060717,FALSE
fkjbz,cipora_58_100717,FALSE
fkjbz,cipora_66_130717,FALSE
fkjbz,cipora_27_280617,FALSE
fkjbz,cipora_01_290517,FALSE
fkjbz,cipora_08_210617,FALSE
fkjbz,cipora_38_010717,FALSE
fkjbz,cipora_45_050717,FALSE
fkjbz,cipora_50_060717,FALSE
fkjbz,cipora_52_080717,FALSE
fkjbz,cipora_53_080717,FALSE
fkjbz,cipora_73_170717,FALSE
fkjbz,cipora_15_220617,FALSE
fkjbz,cipora_17_240617,FALSE
fkjbz,cipora_23_260617,FALSE
fkjbz,cipora_47_060717,FALSE
fkjbz,cipora_51060717,FALSE
fkjbz,cipora_61_120717,FALSE
fkjbz,cipora_95_030817,FALSE
fkjbz,cipora_90_020817,FALSE
fkjbz,cipora_89_020817,FALSE
fkjbz,cipora_86_310717,FALSE
fkjbz,cipora_85_270717,FALSE
fkjbz,cipora_31_290617,FALSE
fkjbz,cipora_18_240617,FALSE
fkjbz,cipora_48_060717,FALSE
fkjbz,cipora_65_130717,FALSE
fkjbz,cipora_44_050717,FALSE
fkjbz,cipora_26_280617,FALSE
fkjbz,cipora_33_290617,FALSE
fkjbz,cipora_14_220617,FALSE
fkjbz,cipora_16_240617,FALSE
fkjbz,cipora_60_120717,FALSE
fkjbz,cipora_70_130717,FALSE
fkjbz,cipora_72_150717,FALSE
fkjbz,cipora_05_140617,FALSE
fkjbz,cipora_35_010717,FALSE
fkjbz,cipora_20_240617,FALSE
fkjbz,cipora_10_210617,FALSE
fkjbz,cipora_22_260617,FALSE
fkjbz,cipora_42_050717,FALSE
fkjbz,cipora_56080717,FALSE
fkjbz,cipora_28_280617,FALSE
fkjbz,cipora_02_310517,FALSE
fkjbz,cipora_63_120717,FALSE
t5y2h,Mieth_S111_100517,FALSE
t5y2h,Mieth_S57_280417,FALSE
t5y2h,Mieth_S43_260417,FALSE
t5y2h,Mieth_S9_190417,FALSE
t5y2h,Mieth_S30_210417,FALSE
t5y2h,Mieth_S90_080517,FALSE
t5y2h,Mieth_S124_120517,FALSE
t5y2h,Mieth_S114_110517,FALSE
t5y2h,Mieth_S17_200417,FALSE
t5y2h,Mieth_S40_260417,FALSE
t5y2h,Mieth_S108_100517,FALSE
t5y2h,Mieth_S65_020517,FALSE
t5y2h,Mieth_S27_210417,FALSE
t5y2h,Mieth_S89_080517,FALSE
t5y2h,Mieth_S6_180417,FALSE
t5y2h,Mieth_S51_270417,FALSE
t5y2h,Mieth_S61_280417,FALSE
t5y2h,Mieth_S77_030517,FALSE
t5y2h,Mieth_S68_030517,FALSE
t5y2h,Mieth_S121_120517,FALSE
t5y2h,Mieth_S97_090517,FALSE
t5y2h,Mieth_S94_080517,FALSE
t5y2h,Mieth_S102_090517,FALSE
t5y2h,Mieth_S100_090517,FALSE
t5y2h,Mieth_S84_050517,FALSE
t5y2h,Mieth_S38_250417,FALSE
t5y2h,Mieth_S21_200417,FALSE
t5y2h,Mieth_S73_030517,FALSE
t5y2h,Mieth_S48_260417,FALSE
t5y2h,Mieth_S115_110517,FALSE
t5y2h,Mieth_S112_100517,FALSE
t5y2h,Mieth_S31_210417,FALSE
t5y2h,Mieth_S104_100517,FALSE
t5y2h,Mieth_S70_030517,FALSE
t5y2h,Mieth_S66_020517,FALSE
t5y2h,Mieth_S91_080517,FALSE
t5y2h,Mieth_S58_280417,FALSE
t5y2h,Mieth_S8_190417,FALSE
t5y2h,Mieth_S44_260417,FALSE
t5y2h,Mieth_S119_110517,FALSE
t5y2h,Mieth_S86_080517,FALSE
t5y2h,Mieth_S13_190417,FALSE
t5y2h,Mieth_S82_040517,FALSE
t5y2h,Mieth_S41_260417,FALSE
t5y2h,Mieth_S62_020517,FALSE
t5y2h,Mieth_S54_280417,FALSE
t5y2h,Mieth_S18_200417,FALSE
t5y2h,Mieth_S28_210417,FALSE
t5y2h,Mieth_S5_180417,FALSE
t5y2h,Mieth_S32_240417,FALSE
t5y2h,Mieth_S10_190417,FALSE
t5y2h,Mieth_S78_030517,FALSE
t5y2h,Mieth_S69_030517,FALSE
t5y2h,Mieth_S122_120517,FALSE
t5y2h,Mieth_S24_210417,FALSE
t5y2h,Mieth_S85_050517,FALSE
t5y2h,Mieth_S74_030517,FALSE
t5y2h,Mieth_S105_100517,FALSE
t5y2h,Mieth_S98_090517,FALSE
t5y2h,Mieth_S116_110517,FALSE
t5y2h,Mieth_S109_100517,FALSE
t5y2h,Mieth_S52_270417,FALSE
t5y2h,Mieth_S59_280417,FALSE
t5y2h,Mieth_S35_250417,FALSE
t5y2h,Mieth_S45_260417,FALSE
t5y2h,Mieth_S71_030517,FALSE
t5y2h,Mieth_S120_110517,FALSE
t5y2h,Mieth_S55_280417,FALSE
t5y2h,Mieth_S19_200417,FALSE
t5y2h,Mieth_S14_190417,FALSE
t5y2h,Mieth_S22_200417,FALSE
t5y2h,Mieth_S110_100517,FALSE
t5y2h,Mieth_S11_190417,FALSE
t5y2h,Mieth_S46_260417,FALSE
t5y2h,Mieth_S67_020517,FALSE
t5y2h,Mieth_S92_080517,FALSE
t5y2h,Mieth_S15_200417,FALSE
t5y2h,Mieth_S29_210417,FALSE
t5y2h,Mieth_S4_180417,FALSE
t5y2h,Mieth_S36_250417,FALSE
t5y2h,Mieth_S23_180885,FALSE
